Date,Month_Year,PM10,PM2.5,WeekDay,PAW_60cm,Max_Daily_Temp_C
2009-06-21,06-09,8,44,1,76.63,15.5
2009-06-22,06-09,14,40,2,76.63,15.2
2009-06-23,06-09,15,88,3,76.63,15.2
2009-06-24,06-09,22,14,4,76.63,16.6
2009-06-25,06-09,27,75,5,76.63,16
2009-06-26,06-09,21,81,6,76.63,22.1
2009-06-27,06-09,20,6,7,76.63,20.4
2009-06-28,06-09,16,18,1,76.63,20.7
2009-06-29,06-09,21,23,2,76.63,23
2009-06-30,06-09,23,23,3,76.63,26.1
2009-07-01,07-09,20,35,4,60.55,26.8
2009-07-02,07-09,25,23,5,60.55,27.5
2009-07-03,07-09,19,66,6,60.55,27.9
2009-07-04,07-09,16,74,7,60.55,26.7
2009-07-05,07-09,9,85,1,60.55,25.8
2009-07-06,07-09,11,2,2,60.55,21.4
2009-07-07,07-09,12,49,3,60.55,22.4
2009-07-08,07-09,8,92,4,60.55,18.7
2009-07-09,07-09,11,40,5,60.55,19.2
2009-07-10,07-09,12,51,6,60.55,17.5
2009-07-11,07-09,12,11,7,60.55,18.7
2009-07-12,07-09,8,22,1,60.55,22.3
2009-07-13,07-09,10,82,2,60.55,26.6
2009-07-14,07-09,11,19,3,60.55,25
2009-07-15,07-09,9,30,4,60.55,23.5
2009-07-16,07-09,16,74,5,60.55,27.7
2009-07-17,07-09,18,81,6,60.55,27.9
2009-07-18,07-09,9,21,7,60.55,16.5
2009-07-19,07-09,8,6,1,60.55,19
2009-07-20,07-09,13,39,2,60.55,20.6
2009-07-21,07-09,13,98,3,60.55,26.7
2009-07-22,07-09,18,61,4,60.55,27.4
2009-07-23,07-09,18,72,5,60.55,26.6
2009-07-24,07-09,9,86,6,60.55,23.6
2009-07-25,07-09,9,65,7,60.55,19.8
2009-07-26,07-09,8,29,1,60.55,22.1
2009-07-27,07-09,11,83,2,60.55,28.2
2009-07-28,07-09,9,42,3,60.55,22.8
2009-07-29,07-09,12,96,4,60.55,26.2
2009-07-30,07-09,14,21,5,60.55,24.2
2009-07-31,07-09,18,99,6,60.55,20.7
2009-08-01,08-09,19,42,7,49.27,28.2
2009-08-02,08-09,14,3,1,49.27,28.6
2009-08-03,08-09,14,72,2,49.27,19.6
2009-08-04,08-09,19,52,3,49.27,23
2009-08-05,08-09,16,55,4,49.27,24.9
2009-08-06,08-09,16,21,5,49.27,27.8
2009-08-07,08-09,21,47,6,49.27,28.4
2009-08-08,08-09,21,52,7,49.27,28.4
2009-08-09,08-09,18,58,1,49.27,26.8
2009-08-10,08-09,20,6,2,49.27,27
2009-08-11,08-09,23,30,3,49.27,23.1
2009-08-12,08-09,17,54,4,49.27,22.6
2009-08-13,08-09,11,28,5,49.27,22.1
2009-08-14,08-09,18,95,6,49.27,21.7
2009-08-15,08-09,17,5,7,49.27,27.9
2009-08-16,08-09,15,32,1,49.27,29.5
2009-08-17,08-09,20,84,2,49.27,28.9
2009-08-18,08-09,16,21,3,49.27,24.4
2009-08-19,08-09,19,2,4,49.27,28.9
2009-08-20,08-09,18,61,5,49.27,31.9
2009-08-21,08-09,23,13,6,49.27,22.6
2009-08-22,08-09,20,14,7,49.27,20.6
2009-08-23,08-09,12,7,1,49.27,23.7
2009-08-24,08-09,13,12,2,49.27,26.9
2009-08-25,08-09,18,88,3,49.27,28.5
2009-08-26,08-09,22,17,4,49.27,22.9
2009-08-27,08-09,16,23,5,49.27,28.5
2009-08-28,08-09,19,62,6,49.27,28
2009-08-29,08-09,14,90,7,49.27,19.5
2009-08-30,08-09,8,41,1,49.27,20.9
2009-08-31,08-09,13,51,2,49.27,25.6
2009-09-01,09-09,18,91,3,49.42,30.9
2009-09-02,09-09,12,48,4,49.42,24.4
2009-09-03,09-09,10,22,5,49.42,22.4
2009-09-04,09-09,9,31,6,49.42,20.1
2009-09-05,09-09,7,42,7,49.42,15.8
2009-09-06,09-09,10,82,1,49.42,16.9
2009-09-07,09-09,15,12,2,49.42,22.6
2009-09-08,09-09,16,10,3,49.42,25.6
2009-09-09,09-09,20,13,4,49.42,25.6
2009-09-10,09-09,35,99,5,49.42,21.5
2009-09-11,09-09,18,36,6,49.42,19.3
2009-09-12,09-09,19,22,7,49.42,18.8
2009-09-13,09-09,8,63,1,49.42,15.6
2009-09-14,09-09,21,31,2,49.42,12.7
2009-09-15,09-09,46,9,3,49.42,18
2009-09-16,09-09,58,99,4,49.42,15.9
2009-09-17,09-09,35,36,5,49.42,15.5
2009-09-18,09-09,29,72,6,49.42,21.4
2009-09-19,09-09,28,48,7,49.42,24
2009-09-20,09-09,26,7,1,49.42,23.9
2009-09-21,09-09,49,94,2,49.42,18
2009-09-22,09-09,39,52,3,49.42,23.9
2009-09-23,09-09,23,51,4,49.42,23.3
2009-09-24,09-09,21,16,5,49.42,16.8
2009-09-25,09-09,24,17,6,49.42,16.5
2009-09-26,09-09,23,60,7,49.42,18.8
2009-09-27,09-09,21,50,1,49.42,21.8
2009-09-28,09-09,29,57,2,49.42,20.4
2009-09-29,09-09,30,25,3,49.42,15.1
2009-09-30,09-09,13,27,4,49.42,14.4
2009-10-01,10-09,18,59,5,68.42,17.2
2009-10-02,10-09,17,63,6,68.42,12.1
2009-10-03,10-09,21,34,7,68.42,15.2
2009-10-04,10-09,10,27,1,68.42,13.9
2009-10-05,10-09,20,35,2,68.42,15.3
2009-10-06,10-09,19,57,3,68.42,19.8
2009-10-07,10-09,21,34,4,68.42,22.6
2009-10-08,10-09,16,14,5,68.42,19.6
2009-10-09,10-09,26,99,6,68.42,12.8
2009-10-10,10-09,22,85,7,68.42,12.1
2009-10-11,10-09,9,1,1,68.42,12.3
2009-10-12,10-09,4,99,2,68.42,7.9
2009-10-13,10-09,7,26,3,68.42,7.9
2009-10-14,10-09,7,91,4,68.42,4.1
2009-10-15,10-09,10,85,5,68.42,2
2009-10-16,10-09,8,35,6,68.42,6.1
2009-10-17,10-09,3,72,7,68.42,4.9
2009-10-18,10-09,4,23,1,68.42,5.4
2009-10-19,10-09,16,15,2,68.42,9.3
2009-10-20,10-09,27,47,3,68.42,8.2
2009-10-21,10-09,50,19,4,68.42,11
2009-10-22,10-09,64,49,5,68.42,9.4
2009-10-23,10-09,37,30,6,68.42,11.1
2009-10-24,10-09,26,37,7,68.42,10.4
2009-10-25,10-09,18,84,1,68.42,12.8
2009-10-26,10-09,21,28,2,68.42,12.2
2009-10-27,10-09,16,5,3,68.42,12
2009-10-28,10-09,32,57,4,68.42,13.1
2009-10-29,10-09,54,98,5,68.42,11.1
2009-10-30,10-09,28,94,6,68.42,9.9
2009-10-31,10-09,29,50,7,68.42,4.1
2009-11-01,11-09,37,4,1,98.87,5.9
2009-11-02,11-09,18,61,2,98.87,4.3
2009-11-03,11-09,14,34,3,98.87,7
2009-11-04,11-09,5,94,4,98.87,10.3
2009-11-05,11-09,10,51,5,98.87,10.7
2009-11-06,11-09,18,78,6,98.87,8.7
2009-11-07,11-09,20,21,7,98.87,5.8
2009-11-08,11-09,24,56,1,98.87,7
2009-11-09,11-09,17,51,2,98.87,4.4
2009-11-10,11-09,13,60,3,98.87,6
2009-11-11,11-09,23,45,4,98.87,6.6
2009-11-12,11-09,23,72,5,98.87,8.7
2009-11-13,11-09,19,73,6,98.87,11
2009-11-14,11-09,14,31,7,98.87,12
2009-11-15,11-09,11,56,1,98.87,11.9
2009-11-16,11-09,23,42,2,98.87,11.4
2009-11-17,11-09,11,80,3,98.87,13.4
2009-11-18,11-09,7,10,4,98.87,9.4
2009-11-19,11-09,17,34,5,98.87,12.2
2009-11-20,11-09,25,10,6,98.87,14.6
2009-11-21,11-09,34,3,7,98.87,14.7
2009-11-22,11-09,23,37,1,98.87,12.8
2009-11-23,11-09,5,96,2,98.87,10.8
2009-11-24,11-09,9,42,3,98.87,11.1
2009-11-25,11-09,10,31,4,98.87,13.3
2009-11-26,11-09,9,26,5,98.87,9.5
2009-11-27,11-09,8,87,6,98.87,9.6
2009-11-28,11-09,6,37,7,98.87,9
2009-11-29,11-09,9,62,1,98.87,12.2
2009-11-30,11-09,28,21,2,98.87,7.1
2009-12-01,12-09,11,10,3,105.32,5.2
2009-12-02,12-09,23,73,4,105.32,3.5
2009-12-03,12-09,21,30,5,105.32,4
2009-12-04,12-09,19,80,6,105.32,3.2
2009-12-05,12-09,17,48,7,105.32,3.7
2009-12-06,12-09,12,39,1,105.32,7.6
2009-12-07,12-09,21,72,2,105.32,8.9
2009-12-08,12-09,11,52,3,105.32,7.2
2009-12-09,12-09,23,61,4,105.32,6.3
2009-12-10,12-09,12,62,5,105.32,6
2009-12-11,12-09,17,99,6,105.32,5.5
2009-12-12,12-09,21,15,7,105.32,0.3
2009-12-13,12-09,21,29,1,105.32,-1.2
2009-12-14,12-09,34,74,2,105.32,-2.4
2009-12-15,12-09,31,83,3,105.32,-0.6
2009-12-16,12-09,30,28,4,105.32,-2.7
2009-12-17,12-09,24,53,5,105.32,-5.8
2009-12-18,12-09,40,26,6,105.32,-6.4
2009-12-19,12-09,53,69,7,105.32,-14.5
2009-12-20,12-09,41,89,1,105.32,-4.7
2009-12-21,12-09,20,45,2,105.32,-1.1
2009-12-22,12-09,20,84,3,105.32,6.7
2009-12-23,12-09,18,77,4,105.32,3
2009-12-24,12-09,25,58,5,105.32,2.9
2009-12-25,12-09,6,0,6,105.32,8.5
2009-12-26,12-09,9,37,7,105.32,3.6
2009-12-27,12-09,15,57,1,105.32,1.4
2009-12-28,12-09,10,14,2,105.32,2.4
2009-12-29,12-09,19,0,3,105.32,1.5
2009-12-30,12-09,18,45,4,105.32,7.3
2009-12-31,12-09,17,40,5,105.32,5.7
2010-01-01,01-10,33,2,6,104.87,-0.6
2010-01-02,01-10,12,56,7,104.87,-3.1
2010-01-03,01-10,28,65,1,104.87,-1.7
2010-01-04,01-10,31,16,2,104.87,-4.6
2010-01-05,01-10,32,74,3,104.87,-4.6
2010-01-06,01-10,35,31,4,104.87,-6.3
2010-01-07,01-10,39,20,5,104.87,-4.8
2010-01-08,01-10,50,24,6,104.87,-6.1
2010-01-09,01-10,41,28,7,104.87,-4.4
2010-01-10,01-10,22,42,1,104.87,-3.9
2010-01-11,01-10,33,89,2,104.87,-5.8
2010-01-12,01-10,57,24,3,104.87,-3.1
2010-01-13,01-10,60,86,4,104.87,-3.4
2010-01-14,01-10,26,62,5,104.87,-0.8
2010-01-15,01-10,38,24,6,104.87,-1.2
2010-01-16,01-10,29,6,7,104.87,-1.4
2010-01-17,01-10,20,96,1,104.87,2.5
2010-01-18,01-10,24,30,2,104.87,3.2
2010-01-19,01-10,29,48,3,104.87,2.2
2010-01-20,01-10,35,10,4,104.87,3
2010-01-21,01-10,45,36,5,104.87,-1.5
2010-01-22,01-10,54,3,6,104.87,-4.5
2010-01-23,01-10,42,65,7,104.87,-5
2010-01-24,01-10,57,25,1,104.87,-5.2
2010-01-25,01-10,56,11,2,104.87,-4.3
2010-01-26,01-10,142,26,3,104.87,-5.8
2010-01-27,01-10,113,20,4,104.87,-5.2
2010-01-28,01-10,20,18,5,104.87,0.2
2010-01-29,01-10,10,42,6,104.87,1
2010-01-30,01-10,13,44,7,104.87,0
2010-01-31,01-10,21,12,1,104.87,-3.5
2010-02-01,02-10,22,3,2,103.25,-0.9
2010-02-02,02-10,22,38,3,103.25,1
2010-02-03,02-10,12,12,4,103.25,2.6
2010-02-04,02-10,18,13,5,103.25,2.9
2010-02-05,02-10,36,82,6,103.25,-0.4
2010-02-06,02-10,61,3,7,103.25,2.3
2010-02-07,02-10,60,99,1,103.25,-0.1
2010-02-08,02-10,51,0,2,103.25,-4.4
2010-02-09,02-10,55,10,3,103.25,-5.3
2010-02-10,02-10,68,43,4,103.25,-4.6
2010-02-11,02-10,87,20,5,103.25,-5.3
2010-02-12,02-10,30,82,6,103.25,-2.7
2010-02-13,02-10,14,38,7,103.25,-3.7
2010-02-14,02-10,22,35,1,103.25,-1.8
2010-02-15,02-10,NA,NA,2,103.25,-3
2010-02-16,02-10,41,0,3,103.25,-3
2010-02-17,02-10,46,59,4,103.25,0.1
2010-02-18,02-10,46,44,5,103.25,3.4
2010-02-19,02-10,37,28,6,103.25,5.8
2010-02-20,02-10,21,29,7,103.25,3.9
2010-02-21,02-10,11,66,1,103.25,1.9
2010-02-22,02-10,14,31,2,103.25,5.2
2010-02-23,02-10,14,19,3,103.25,7
2010-02-24,02-10,21,78,4,103.25,6.9
2010-02-25,02-10,16,24,5,103.25,10.1
2010-02-26,02-10,11,31,6,103.25,8.3
2010-02-27,02-10,14,8,7,103.25,8.8
2010-02-28,02-10,10,31,1,103.25,13.2
2010-03-01,03-10,13,13,2,98.47,6.7
2010-03-02,03-10,31,22,3,98.47,4.8
2010-03-03,03-10,29,67,4,98.47,5.1
2010-03-04,03-10,32,11,5,98.47,1.5
2010-03-05,03-10,16,7,6,98.47,-2.2
2010-03-06,03-10,20,22,7,98.47,-2.2
2010-03-07,03-10,27,0,1,98.47,-2.4
2010-03-08,03-10,30,89,2,98.47,-1.1
2010-03-09,03-10,52,27,3,98.47,-1.3
2010-03-10,03-10,63,76,4,98.47,3
2010-03-11,03-10,86,46,5,98.47,0.7
2010-03-12,03-10,46,78,6,98.47,3.4
2010-03-13,03-10,16,95,7,98.47,3.4
2010-03-14,03-10,11,96,1,98.47,4.3
2010-03-15,03-10,13,77,2,98.47,3.5
2010-03-16,03-10,15,59,3,98.47,3.4
2010-03-17,03-10,35,54,4,98.47,9.8
2010-03-18,03-10,39,91,5,98.47,14.7
2010-03-19,03-10,33,8,6,98.47,16.2
2010-03-20,03-10,20,41,7,98.47,13.3
2010-03-21,03-10,NA,NA,1,98.47,15.1
2010-03-22,03-10,NA,NA,2,98.47,13.4
2010-03-23,03-10,33,83,3,98.47,14.1
2010-03-24,03-10,38,37,4,98.47,17.7
2010-03-25,03-10,33,51,5,98.47,20
2010-03-26,03-10,20,42,6,98.47,22.1
2010-03-27,03-10,12,42,7,98.47,11
2010-03-28,03-10,9,18,1,98.47,11
2010-03-29,03-10,9,83,2,98.47,13.2
2010-03-30,03-10,21,16,3,98.47,19.1
2010-03-31,03-10,13,90,4,98.47,11.1
2010-04-01,04-10,17,57,5,84.27,8.5
2010-04-02,04-10,14,39,6,84.27,10.9
2010-04-03,04-10,15,31,7,84.27,13.4
2010-04-04,04-10,8,27,1,84.27,13.6
2010-04-05,04-10,15,21,2,84.27,10.2
2010-04-06,04-10,26,68,3,84.27,13.9
2010-04-07,04-10,27,20,4,84.27,17.2
2010-04-08,04-10,38,61,5,84.27,19.4
2010-04-09,04-10,26,57,6,84.27,11.2
2010-04-10,04-10,12,46,7,84.27,8
2010-04-11,04-10,7,85,1,84.27,6.1
2010-04-12,04-10,28,82,2,84.27,8
2010-04-13,04-10,45,74,3,84.27,13.1
2010-04-14,04-10,44,14,4,84.27,8.6
2010-04-15,04-10,35,37,5,84.27,5.1
2010-04-16,04-10,36,70,6,84.27,10.3
2010-04-17,04-10,30,61,7,84.27,14.9
2010-04-18,04-10,22,56,1,84.27,19.6
2010-04-19,04-10,50,31,2,84.27,16.6
2010-04-20,04-10,54,57,3,84.27,16.4
2010-04-21,04-10,22,17,4,84.27,8.6
2010-04-22,04-10,19,24,5,84.27,11.6
2010-04-23,04-10,33,46,6,84.27,15.6
2010-04-24,04-10,35,77,7,84.27,19
2010-04-25,04-10,26,83,1,84.27,22
2010-04-26,04-10,32,45,2,84.27,17.5
2010-04-27,04-10,24,8,3,84.27,16.2
2010-04-28,04-10,23,26,4,84.27,20.1
2010-04-29,04-10,27,61,5,84.27,24.8
2010-04-30,04-10,31,55,6,84.27,23.4
2010-05-01,05-10,17,93,7,78.82,18.1
2010-05-02,05-10,17,44,1,78.82,13
2010-05-03,05-10,15,45,2,78.82,13.7
2010-05-04,05-10,19,19,3,78.82,11
2010-05-05,05-10,21,64,4,78.82,9.6
2010-05-06,05-10,10,55,5,78.82,7.8
2010-05-07,05-10,14,96,6,78.82,10.2
2010-05-08,05-10,21,71,7,78.82,14.8
2010-05-09,05-10,13,97,1,78.82,16.3
2010-05-10,05-10,32,21,2,78.82,13.2
2010-05-11,05-10,36,14,3,78.82,14.7
2010-05-12,05-10,14,12,4,78.82,14.6
2010-05-13,05-10,24,38,5,78.82,9.5
2010-05-14,05-10,18,68,6,78.82,7.4
2010-05-15,05-10,7,96,7,78.82,6.4
2010-05-16,05-10,18,37,1,78.82,13.3
2010-05-17,05-10,22,23,2,78.82,16.7
2010-05-18,05-10,14,45,3,78.82,10.7
2010-05-19,05-10,6,66,4,78.82,8.9
2010-05-20,05-10,8,17,5,78.82,11.6
2010-05-21,05-10,24,24,6,78.82,15.6
2010-05-22,05-10,23,42,7,78.82,20.8
2010-05-23,05-10,21,1,1,78.82,21.1
2010-05-24,05-10,14,59,2,78.82,24
2010-05-25,05-10,21,43,3,78.82,19.1
2010-05-26,05-10,23,66,4,78.82,16.1
2010-05-27,05-10,NA,NA,5,78.82,14.5
2010-05-28,05-10,NA,NA,6,78.82,19.5
2010-05-29,05-10,19,38,7,78.82,20
2010-05-30,05-10,7,25,1,78.82,17.8
2010-05-31,05-10,8,54,2,78.82,12.4
2010-06-01,06-10,5,93,3,74.98,10.5
2010-06-02,06-10,6,69,4,74.98,12
2010-06-03,06-10,22,4,5,74.98,14.3
2010-06-04,06-10,19,27,6,74.98,20.9
2010-06-05,06-10,17,2,7,74.98,26.8
2010-06-06,06-10,16,73,1,74.98,27.8
2010-06-07,06-10,13,50,2,74.98,22.2
2010-06-08,06-10,17,10,3,74.98,26.4
2010-06-09,06-10,14,70,4,74.98,29.7
2010-06-10,06-10,22,70,5,74.98,29.4
2010-06-11,06-10,19,76,6,74.98,27.4
2010-06-12,06-10,13,70,7,74.98,23.4
2010-06-13,06-10,11,57,1,74.98,19.2
2010-06-14,06-10,18,93,2,74.98,17.3
2010-06-15,06-10,23,12,3,74.98,20.1
2010-06-16,06-10,15,68,4,74.98,19.8
2010-06-17,06-10,17,38,5,74.98,23.7
2010-06-18,06-10,20,74,6,74.98,19.5
2010-06-19,06-10,9,89,7,74.98,15.4
2010-06-20,06-10,6,94,1,74.98,16.9
2010-06-21,06-10,12,44,2,74.98,16.2
2010-06-22,06-10,14,37,3,74.98,19.4
2010-06-23,06-10,18,43,4,74.98,21
2010-06-24,06-10,16,53,5,74.98,23.9
2010-06-25,06-10,24,6,6,74.98,24.7
2010-06-26,06-10,18,36,7,74.98,24
2010-06-27,06-10,12,76,1,74.98,25.9
2010-06-28,06-10,19,19,2,74.98,28.7
2010-06-29,06-10,24,8,3,74.98,29.4
2010-06-30,06-10,21,65,4,74.98,27.3
2010-07-01,07-10,21,90,5,72.5,28.7
2010-07-02,07-10,23,64,6,72.5,32.1
2010-07-03,07-10,22,95,7,72.5,32.8
2010-07-04,07-10,22,20,1,72.5,28.7
2010-07-05,07-10,18,10,2,72.5,28.8
2010-07-06,07-10,12,41,3,72.5,19.3
2010-07-07,07-10,18,9,4,72.5,22.8
2010-07-08,07-10,18,84,5,72.5,28.7
2010-07-09,07-10,22,85,6,72.5,32.5
2010-07-10,07-10,21,4,7,72.5,34.3
2010-07-11,07-10,16,98,1,72.5,35.5
2010-07-12,07-10,22,45,2,72.5,36.4
2010-07-13,07-10,17,69,3,72.5,28.2
2010-07-14,07-10,20,79,4,72.5,32.3
2010-07-15,07-10,15,46,5,72.5,25.1
2010-07-16,07-10,20,63,6,72.5,32.8
2010-07-17,07-10,13,44,7,72.5,26.4
2010-07-18,07-10,13,29,1,72.5,21.9
2010-07-19,07-10,14,85,2,72.5,25.1
2010-07-20,07-10,18,21,3,72.5,27.5
2010-07-21,07-10,20,91,4,72.5,32.4
2010-07-22,07-10,21,56,5,72.5,31.3
2010-07-23,07-10,16,85,6,72.5,20.7
2010-07-24,07-10,13,5,7,72.5,19.8
2010-07-25,07-10,9,10,1,72.5,20.9
2010-07-26,07-10,15,37,2,72.5,21.2
2010-07-27,07-10,16,8,3,72.5,23
2010-07-28,07-10,15,46,4,72.5,20.1
2010-07-29,07-10,12,25,5,72.5,20.2
2010-07-30,07-10,13,44,6,72.5,20.6
2010-07-31,07-10,14,51,7,72.5,24.6
2010-08-01,08-10,13,75,1,108.35,27.6
2010-08-02,08-10,13,88,2,108.35,24
2010-08-03,08-10,17,70,3,108.35,17.6
2010-08-04,08-10,17,13,4,108.35,22.2
2010-08-05,08-10,16,67,5,108.35,23.3
2010-08-06,08-10,15,65,6,108.35,14.9
2010-08-07,08-10,15,96,7,108.35,21.5
2010-08-08,08-10,15,22,1,108.35,22.9
2010-08-09,08-10,16,4,2,108.35,21.3
2010-08-10,08-10,18,64,3,108.35,24.5
2010-08-11,08-10,20,7,4,108.35,23.8
2010-08-12,08-10,15,71,5,108.35,20.8
2010-08-13,08-10,25,91,6,108.35,19.8
2010-08-14,08-10,15,60,7,108.35,17.4
2010-08-15,08-10,14,15,1,108.35,22
2010-08-16,08-10,9,26,2,108.35,20.4
2010-08-17,08-10,5,86,3,108.35,16.6
2010-08-18,08-10,11,63,4,108.35,19.3
2010-08-19,08-10,12,90,5,108.35,19.8
2010-08-20,08-10,20,39,6,108.35,25.4
2010-08-21,08-10,25,66,7,108.35,27.9
2010-08-22,08-10,17,26,1,108.35,29.3
2010-08-23,08-10,15,5,2,108.35,23.6
2010-08-24,08-10,9,87,3,108.35,22.5
2010-08-25,08-10,31,88,4,108.35,20.4
2010-08-26,08-10,16,81,5,108.35,24.6
2010-08-27,08-10,8,52,6,108.35,21.7
2010-08-28,08-10,6,91,7,108.35,17
2010-08-29,08-10,7,20,1,108.35,15.5
2010-08-30,08-10,5,29,2,108.35,12
2010-08-31,08-10,7,71,3,108.35,16.3
2010-09-01,09-10,9,37,4,100.7,15.2
2010-09-02,09-10,14,43,5,100.7,15.4
2010-09-03,09-10,20,68,6,100.7,16.8
2010-09-04,09-10,17,10,7,100.7,15.4
2010-09-05,09-10,13,36,1,100.7,17.2
2010-09-06,09-10,18,13,2,100.7,17
2010-09-07,09-10,18,50,3,100.7,18
2010-09-08,09-10,16,47,4,100.7,16.2
2010-09-09,09-10,24,94,5,100.7,15.8
2010-09-10,09-10,22,42,6,100.7,19.1
2010-09-11,09-10,16,57,7,100.7,22
2010-09-12,09-10,14,41,1,100.7,23
2010-09-13,09-10,15,65,2,100.7,14.8
2010-09-14,09-10,15,72,3,100.7,14.5
2010-09-15,09-10,11,15,4,100.7,16
2010-09-16,09-10,14,23,5,100.7,15.8
2010-09-17,09-10,17,72,6,100.7,14.7
2010-09-18,09-10,12,31,7,100.7,12.8
2010-09-19,09-10,14,3,1,100.7,15.4
2010-09-20,09-10,20,70,2,100.7,18.3
2010-09-21,09-10,22,14,3,100.7,21
2010-09-22,09-10,20,96,4,100.7,22.1
2010-09-23,09-10,22,52,5,100.7,23.2
2010-09-24,09-10,23,70,6,100.7,22.9
2010-09-25,09-10,7,4,7,100.7,13.2
2010-09-26,09-10,10,9,1,100.7,11.5
2010-09-27,09-10,15,80,2,100.7,8.8
2010-09-28,09-10,9,30,3,100.7,10.5
2010-09-29,09-10,15,36,4,100.7,9.7
2010-09-30,09-10,NA,NA,5,100.7,12.5
2010-10-01,10-10,NA,NA,6,100.05,12.2
2010-10-02,10-10,22,57,7,100.05,13.5
2010-10-03,10-10,16,81,1,100.05,16.2
2010-10-04,10-10,26,7,2,100.05,13
2010-10-05,10-10,25,22,3,100.05,15.4
2010-10-06,10-10,19,14,4,100.05,15.8
2010-10-07,10-10,17,11,5,100.05,15.1
2010-10-08,10-10,26,16,6,100.05,17.1
2010-10-09,10-10,24,88,7,100.05,18.7
2010-10-10,10-10,28,89,1,100.05,14.9
2010-10-11,10-10,41,2,2,100.05,12.5
2010-10-12,10-10,43,69,3,100.05,5.4
2010-10-13,10-10,51,22,4,100.05,10
2010-10-14,10-10,38,8,5,100.05,8.8
2010-10-15,10-10,17,48,6,100.05,10
2010-10-16,10-10,14,25,7,100.05,8.9
2010-10-17,10-10,29,38,1,100.05,7.9
2010-10-18,10-10,35,49,2,100.05,8.1
2010-10-19,10-10,45,43,3,100.05,6
2010-10-20,10-10,40,26,4,100.05,7.5
2010-10-21,10-10,15,65,5,100.05,6.7
2010-10-22,10-10,24,68,6,100.05,7.7
2010-10-23,10-10,29,11,7,100.05,11.3
2010-10-24,10-10,9,12,1,100.05,9.4
2010-10-25,10-10,19,60,2,100.05,7
2010-10-26,10-10,19,17,3,100.05,7.6
2010-10-27,10-10,19,66,4,100.05,9.6
2010-10-28,10-10,23,83,5,100.05,13.4
2010-10-29,10-10,30,84,6,100.05,14.7
2010-10-30,10-10,38,11,7,100.05,14.6
2010-10-31,10-10,40,67,1,100.05,12.3
2010-11-01,11-10,45,15,2,107.6,15.5
2010-11-02,11-10,46,47,3,107.6,8.2
2010-11-03,11-10,21,3,4,107.6,12.1
2010-11-04,11-10,7,62,5,107.6,15.8
2010-11-05,11-10,10,87,6,107.6,13.6
2010-11-06,11-10,6,54,7,107.6,12.3
2010-11-07,11-10,7,53,1,107.6,6.3
2010-11-08,11-10,16,5,2,107.6,5.1
2010-11-09,11-10,19,5,3,107.6,8.3
2010-11-10,11-10,23,28,4,107.6,10.3
2010-11-11,11-10,8,58,5,107.6,6.9
2010-11-12,11-10,8,35,6,107.6,12.1
2010-11-13,11-10,3,26,7,107.6,15.6
2010-11-14,11-10,5,99,1,107.6,17.9
2010-11-15,11-10,16,33,2,107.6,12
2010-11-16,11-10,4,33,3,107.6,4.2
2010-11-17,11-10,10,4,4,107.6,3.7
2010-11-18,11-10,17,41,5,107.6,4.8
2010-11-19,11-10,29,88,6,107.6,5.5
2010-11-20,11-10,25,6,7,107.6,6.3
2010-11-21,11-10,24,96,1,107.6,4.5
2010-11-22,11-10,14,85,2,107.6,3.1
2010-11-23,11-10,7,8,3,107.6,2.1
2010-11-24,11-10,9,46,4,107.6,2.5
2010-11-25,11-10,20,76,5,107.6,1.5
2010-11-26,11-10,22,81,6,107.6,0.4
2010-11-27,11-10,37,23,7,107.6,-1.4
2010-11-28,11-10,43,84,1,107.6,0.2
2010-11-29,11-10,40,63,2,107.6,-2.5
2010-11-30,11-10,28,49,3,107.6,-3.4
2010-12-01,12-10,43,58,4,109.72,-8.2
2010-12-02,12-10,44,44,5,109.72,-7.2
2010-12-03,12-10,46,5,6,109.72,-4.7
2010-12-04,12-10,38,46,7,109.72,-4.6
2010-12-05,12-10,21,89,1,109.72,0.8
2010-12-06,12-10,38,39,2,109.72,0
2010-12-07,12-10,69,21,3,109.72,-1
2010-12-08,12-10,69,69,4,109.72,2.5
2010-12-09,12-10,17,27,5,109.72,-0.6
2010-12-10,12-10,14,60,6,109.72,-0.8
2010-12-11,12-10,6,24,7,109.72,3.6
2010-12-12,12-10,3,99,1,109.72,2
2010-12-13,12-10,10,25,2,109.72,-5.3
2010-12-14,12-10,16,52,3,109.72,-3.4
2010-12-15,12-10,14,55,4,109.72,-5.8
2010-12-16,12-10,22,28,5,109.72,-5.4
2010-12-17,12-10,20,54,6,109.72,-3.4
2010-12-18,12-10,18,45,7,109.72,-4.4
2010-12-19,12-10,22,88,1,109.72,1.7
2010-12-20,12-10,20,84,2,109.72,3.4
2010-12-21,12-10,21,26,3,109.72,2.2
2010-12-22,12-10,34,69,4,109.72,2.6
2010-12-23,12-10,45,82,5,109.72,5.5
2010-12-24,12-10,15,33,6,109.72,-0.9
2010-12-25,12-10,12,71,7,109.72,-4.5
2010-12-26,12-10,30,67,1,109.72,-7.5
2010-12-27,12-10,34,37,2,109.72,-2.8
2010-12-28,12-10,24,27,3,109.72,-3.1
2010-12-29,12-10,46,56,4,109.72,-6.4
2010-12-30,12-10,45,87,5,109.72,-3.1
2010-12-31,12-10,24,59,6,109.72,-2.1
