X (Grid),Y (Grid),X (m),Y (m),AirT,rh,Wind,MRT,Point
0,167,1.5,1.5,NA,NA,0,NA,1
1,167,4.5,1.5,38.055672,23.5495,0.1225,45.5605,2
2,167,7.5,1.5,37.864307,23.9572,0.3465,44.0207,3
3,167,10.5,1.5,37.761482,24.2956,0.6549,44.136,4
4,167,13.5,1.5,37.73032,24.5872,1.1423,44.0089,5
5,167,16.5,1.5,37.733276,24.9019,1.507,66.0169,6
6,167,19.5,1.5,37.711815,25.1161,1.7235,67.4427,7
7,167,22.5,1.5,37.663925,25.259,1.8359,67.2653,8
8,167,25.5,1.5,37.603893,25.3476,1.8885,66.9511,9
9,167,28.5,1.5,37.560722,25.4028,1.9089,66.6352,10
10,167,31.5,1.5,37.543808,25.4229,1.9141,66.7022,11
11,167,34.5,1.5,37.550816,25.4217,1.9062,66.8747,12
12,167,37.5,1.5,37.588669,25.4048,1.8891,67.367,13
13,167,40.5,1.5,37.652103,25.3752,1.8673,68.3929,14
14,167,43.5,1.5,37.716396,25.3461,1.8584,69.1001,15
15,167,46.5,1.5,37.770432,25.3314,1.8156,68.8237,16
16,167,49.5,1.5,37.823093,25.3167,1.7627,69.341,17
17,167,52.5,1.5,37.860905,25.3167,1.7622,69.4496,18
18,167,55.5,1.5,37.888351,25.3314,1.7734,69.5841,19
19,167,58.5,1.5,37.90604,25.3631,1.7864,69.4719,20
20,167,61.5,1.5,37.914543,25.4127,1.7961,69.456,21
21,167,64.5,1.5,37.913494,25.4808,1.8017,69.6827,22
22,167,67.5,1.5,37.901573,25.5685,1.8031,69.8115,23
23,167,70.5,1.5,37.877426,25.6761,1.8028,69.8863,24
24,167,73.5,1.5,37.839848,25.8025,1.8106,69.8794,25
25,167,76.5,1.5,37.784061,25.9489,1.8544,69.2,26
26,167,79.5,1.5,37.726063,26.0965,1.8662,69.6452,27
27,167,82.5,1.5,37.659172,26.2517,1.8738,69.6442,28
28,167,85.5,1.5,37.584503,26.404,1.9136,68.6414,29
29,167,88.5,1.5,37.510448,26.5314,1.9168,68.5937,30
30,167,91.5,1.5,37.440739,26.6078,1.8973,69.4478,31
31,167,94.5,1.5,37.39352,26.5344,1.8725,73.3379,32
32,167,97.5,1.5,37.343719,26.5677,1.858,73.9972,33
33,167,100.5,1.5,37.295078,26.6465,1.8505,73.741,34
34,167,103.5,1.5,37.238262,26.7613,1.8477,74.3204,35
35,167,106.5,1.5,37.1698,26.9066,1.8452,74.2957,36
36,167,109.5,1.5,37.091614,27.0732,1.8483,74.0557,37
37,167,112.5,1.5,37.010796,27.2463,1.8587,74.0495,38
38,167,115.5,1.5,36.937962,27.4159,1.8791,74.5145,39
39,167,118.5,1.5,36.878155,27.5891,1.9062,74.1347,40
40,167,121.5,1.5,36.829666,27.7906,1.9364,73.7294,41
41,167,124.5,1.5,36.781578,28.0908,1.9675,69.9881,42
42,167,127.5,1.5,36.795998,28.0999,1.9946,69.3963,43
43,167,130.5,1.5,36.922108,27.7145,2.0073,70.0004,44
44,167,133.5,1.5,37.001614,27.4732,1.9815,70.3417,45
45,167,136.5,1.5,37.07896,27.2607,1.8944,70.8039,46
46,167,139.5,1.5,37.161457,27.0521,1.7589,70.7976,47
47,167,142.5,1.5,37.259483,26.8348,1.6838,71.366,48
48,167,145.5,1.5,37.382881,26.6066,1.6775,73.3409,49
49,167,148.5,1.5,NA,NA,0,NA,50
50,167,151.5,1.5,NA,NA,0,NA,51
51,167,154.5,1.5,NA,NA,0,NA,52
52,167,157.5,1.5,NA,NA,0,NA,53
53,167,160.5,1.5,NA,NA,0,NA,54
54,167,163.5,1.5,NA,NA,0,NA,55
55,167,166.5,1.5,NA,NA,0,NA,56
56,167,169.5,1.5,NA,NA,0,NA,57
57,167,172.5,1.5,37.543743,25.9131,1.5998,50.3359,58
58,167,175.5,1.5,37.592285,25.8395,1.7797,73.0532,59
59,167,178.5,1.5,37.641762,25.7634,1.9304,71.8815,60
60,167,181.5,1.5,37.603718,25.8097,2.0253,75.5377,61
61,167,184.5,1.5,37.598339,25.8099,2.0759,74.3977,62
62,167,187.5,1.5,37.591751,25.8115,2.0801,72.1312,63
63,167,190.5,1.5,37.501484,25.93,1.9761,75.1793,64
64,167,193.5,1.5,37.430355,26.0212,1.6588,76.038,65
65,167,196.5,1.5,37.373989,26.0953,1.4568,76.02,66
66,167,199.5,1.5,37.35783,26.1176,1.3924,75.7195,67
67,167,202.5,1.5,NA,NA,0,NA,68
68,167,205.5,1.5,NA,NA,0,NA,69
69,167,208.5,1.5,NA,NA,0,NA,70
70,167,211.5,1.5,36.942551,26.7869,1.6795,66.2015,71
71,167,214.5,1.5,36.845387,26.9591,1.9571,66.6689,72
72,167,217.5,1.5,36.732555,27.1646,2.1434,67.2688,73
73,167,220.5,1.5,36.629585,27.362,2.2403,67.7584,74
74,167,223.5,1.5,36.604885,27.4473,2.29,67.7356,75
75,167,226.5,1.5,36.620163,27.4759,2.3211,67.4041,76
76,167,229.5,1.5,36.660728,27.4669,2.3438,67.672,77
77,167,232.5,1.5,36.742062,27.3863,2.3478,70.3153,78
78,167,235.5,1.5,NA,NA,0,NA,79
79,167,238.5,1.5,NA,NA,0,NA,80
80,167,241.5,1.5,NA,NA,0,NA,81
81,167,244.5,1.5,NA,NA,0,NA,82
82,167,247.5,1.5,NA,NA,0,NA,83
83,167,250.5,1.5,36.294708,28.6042,1.7259,67.1392,84
84,167,253.5,1.5,36.163841,28.878,2.0109,67.0416,85
85,167,256.5,1.5,35.998562,29.2315,2.0841,66.1429,86
86,167,259.5,1.5,35.872936,29.523,1.974,65.5159,87
87,167,262.5,1.5,NA,NA,0,NA,88
88,167,265.5,1.5,NA,NA,0,NA,89
89,167,268.5,1.5,35.362431,31.0454,1.3645,64.4614,90
90,167,271.5,1.5,35.22176,31.3198,1.4292,38.7852,91
91,167,274.5,1.5,35.117676,31.5669,1.4264,46.5384,92
92,167,277.5,1.5,35.036964,31.7312,1.3136,40.6272,93
93,167,280.5,1.5,34.988346,31.9047,1.3924,61.8985,94
94,167,283.5,1.5,34.930382,31.9435,0.9438,60.6146,95
95,167,286.5,1.5,34.875278,32.0401,0.6965,60.3614,96
96,167,289.5,1.5,34.645741,32.5688,2.08,59.8247,97
97,167,292.5,1.5,34.53849,32.7703,2.056,58.5741,98
98,167,295.5,1.5,34.435715,32.9522,1.9542,44.5606,99
99,167,298.5,1.5,34.339317,33.1187,1.8591,38.9683,100
100,167,301.5,1.5,34.250927,33.2778,1.7596,38.5013,101
101,167,304.5,1.5,34.192902,33.3666,1.7262,41.6036,102
102,167,307.5,1.5,34.178631,33.3718,1.6682,40.8505,103
103,167,310.5,1.5,34.225449,33.2436,1.3574,41.6283,104
104,167,313.5,1.5,34.296726,33.0528,1.3209,47.5549,105
105,167,316.5,1.5,34.380482,32.7424,0.7677,56.667,106
106,167,319.5,1.5,34.484062,32.3706,1.4447,62.5634,107
107,167,322.5,1.5,34.371056,32.4514,2.0071,64.6182,108
108,167,325.5,1.5,34.449802,32.2751,2.0332,66.2548,109
109,167,328.5,1.5,NA,NA,0,NA,110
110,167,331.5,1.5,NA,NA,0,NA,111
111,167,334.5,1.5,NA,NA,0,NA,112
112,167,337.5,1.5,34.199245,32.5889,0.576,64.0265,113
113,167,340.5,1.5,34.179119,32.679,1.6738,62.8024,114
114,167,343.5,1.5,34.202816,32.6568,1.8764,65.0156,115
115,167,346.5,1.5,NA,NA,0,NA,116
116,167,349.5,1.5,NA,NA,0,NA,117
117,167,352.5,1.5,NA,NA,0,NA,118
118,167,355.5,1.5,NA,NA,0,NA,119
119,167,358.5,1.5,33.841579,33.4198,1.6332,62.8316,120
120,167,361.5,1.5,33.818687,33.4763,1.8204,64.1926,121
121,167,364.5,1.5,NA,NA,0,NA,122
122,167,367.5,1.5,NA,NA,0,NA,123
123,167,370.5,1.5,NA,NA,0,NA,124
124,167,373.5,1.5,NA,NA,0,NA,125
125,167,376.5,1.5,33.765369,33.4083,1.573,63.0846,126
126,167,379.5,1.5,33.75526,33.3978,1.8634,62.9905,127
127,167,382.5,1.5,33.776215,33.3199,1.9995,62.9629,128
128,167,385.5,1.5,33.836388,33.1666,2.0224,62.9352,129
129,167,388.5,1.5,33.940414,32.9388,2.0311,63.1558,130
130,167,391.5,1.5,34.080677,32.6586,2.0779,63.5433,131
131,167,394.5,1.5,34.218395,32.3923,2.1293,64.3093,132
132,167,397.5,1.5,34.3326,32.1689,2.1453,65.0142,133
133,167,400.5,1.5,34.425602,31.9763,2.1188,65.2506,134
134,167,403.5,1.5,34.503197,31.8109,2.1009,64.75,135
135,167,406.5,1.5,34.568565,31.6736,2.107,64.1072,136
136,167,409.5,1.5,34.619987,31.5675,2.1174,64.1705,137
137,167,412.5,1.5,34.659546,31.4865,2.1171,64.3108,138
138,167,415.5,1.5,34.692158,31.4206,2.1119,64.5463,139
139,167,418.5,1.5,34.718792,31.3657,2.1046,64.2735,140
140,167,421.5,1.5,34.741924,31.3117,2.0847,64.783,141
141,167,424.5,1.5,34.768093,31.2392,2.0075,64.3577,142
142,167,427.5,1.5,34.806042,31.1306,1.8493,64.3708,143
143,167,430.5,1.5,34.855869,30.9911,1.6514,64.3044,144
144,167,433.5,1.5,34.913563,30.8367,1.4372,64.6473,145
145,167,436.5,1.5,34.968502,30.6979,1.2367,64.2221,146
146,167,439.5,1.5,35.114471,30.2999,1.4701,65.2563,147
147,167,442.5,1.5,35.239147,30.0398,1.5065,66.4602,148
148,167,445.5,1.5,35.355942,29.8174,1.5803,66.4941,149
149,167,448.5,1.5,35.456261,29.6431,1.6621,66.5008,150
150,167,451.5,1.5,35.537941,29.5128,1.7278,67.1382,151
151,167,454.5,1.5,35.60326,29.4141,1.7512,66.0984,152
152,167,457.5,1.5,35.657406,29.3326,1.6779,66.1688,153
153,167,460.5,1.5,35.692043,29.2819,1.5106,65.7669,154
154,167,463.5,1.5,35.692413,29.2811,0.804,65.9999,155
155,167,466.5,1.5,35.864872,29.0841,2.1753,67.3711,156
156,167,469.5,1.5,36.026558,28.8618,2.3338,66.7546,157
157,167,472.5,1.5,36.229584,28.5617,2.4202,65.0321,158
158,167,475.5,1.5,36.41309,28.2607,2.3266,66.1132,159
159,167,478.5,1.5,36.310101,28.3195,0.8204,65.0427,160
160,167,481.5,1.5,36.264671,28.3177,0.327,45.4232,161
161,167,484.5,1.5,NA,NA,0,NA,162
162,167,487.5,1.5,NA,NA,0,NA,163
163,167,490.5,1.5,NA,NA,0,NA,164
164,167,493.5,1.5,NA,NA,0,NA,165
165,167,496.5,1.5,NA,NA,0,NA,166
166,167,499.5,1.5,NA,NA,0,NA,167
167,167,502.5,1.5,NA,NA,0,NA,168
168,167,505.5,1.5,NA,NA,0,NA,169
169,167,508.5,1.5,NA,NA,0,NA,170
170,167,511.5,1.5,36.429802,28.0595,0.9667,58.5014,171
171,167,514.5,1.5,36.331905,28.1332,0.9501,59.0953,172
172,167,517.5,1.5,36.216347,28.2531,0.9131,39.8848,173
173,167,520.5,1.5,36.101269,28.3993,0.8337,37.187,174
174,167,523.5,1.5,36.031811,28.4637,0.7859,36.614,175
175,167,526.5,1.5,36.005573,28.4437,0.3975,36.3449,176
176,167,529.5,1.5,36.02581,28.1944,0.565,39.8435,177
177,167,532.5,1.5,36.073559,27.9328,0.4279,40.6805,178
178,167,535.5,1.5,36.135433,27.5853,0.8251,48.641,179
179,167,538.5,1.5,36.196831,27.2663,1.2512,44.4025,180
0,166,1.5,4.5,NA,NA,0,NA,181
1,166,4.5,4.5,NA,NA,0,NA,182
2,166,7.5,4.5,37.724674,24.2691,0.1501,42.5444,183
3,166,10.5,4.5,37.700138,24.495,0.499,40.6724,184
4,166,13.5,4.5,37.712986,24.7165,1.1574,40.4411,185
5,166,16.5,4.5,37.70789,25.0059,1.5629,42.0795,186
6,166,19.5,4.5,37.686882,25.2731,1.7913,65.445,187
7,166,22.5,4.5,37.617527,25.4087,1.8982,65.8226,188
8,166,25.5,4.5,37.524387,25.461,1.9371,63.2566,189
9,166,28.5,4.5,37.466831,25.4993,1.9414,41.0084,190
10,166,31.5,4.5,37.445526,25.517,1.9231,40.494,191
11,166,34.5,4.5,37.458187,25.504,1.8792,41.4398,192
12,166,37.5,4.5,37.520264,25.4834,1.8203,49.6552,193
13,166,40.5,4.5,37.623337,25.4513,1.7536,67.7242,194
14,166,43.5,4.5,37.709694,25.4219,1.7299,69.4444,195
15,166,46.5,4.5,37.772747,25.4117,1.6969,69.7766,196
16,166,49.5,4.5,37.821007,25.4058,1.692,69.4119,197
17,166,52.5,4.5,37.857124,25.4108,1.7049,69.5608,198
18,166,55.5,4.5,37.882599,25.4318,1.7219,69.5158,199
19,166,58.5,4.5,37.897976,25.471,1.7396,69.4165,200
20,166,61.5,4.5,37.903175,25.5298,1.7524,69.3928,201
21,166,64.5,4.5,37.897694,25.6091,1.7621,69.565,202
22,166,67.5,4.5,37.880257,25.7099,1.7651,69.8615,203
23,166,70.5,4.5,37.848461,25.8339,1.7678,69.7786,204
24,166,73.5,4.5,37.802444,25.9784,1.7733,69.6809,205
25,166,76.5,4.5,37.742577,26.139,1.7917,69.6325,206
26,166,79.5,4.5,37.672688,26.3072,1.8021,70.2824,207
27,166,82.5,4.5,37.591892,26.4769,1.8251,70.7186,208
28,166,85.5,4.5,37.504063,26.6315,1.8915,68.3559,209
29,166,88.5,4.5,37.418839,26.7534,1.8868,68.7689,210
30,166,91.5,4.5,37.334061,26.8225,1.85,69.7526,211
31,166,94.5,4.5,37.259277,26.7823,1.8159,72.7262,212
32,166,97.5,4.5,37.215755,26.8148,1.7981,61.3412,213
33,166,100.5,4.5,37.181713,26.882,1.7945,74.6063,214
34,166,103.5,4.5,37.128231,27.0009,1.7921,75.9013,215
35,166,106.5,4.5,37.053986,27.1632,1.7898,76.1329,216
36,166,109.5,4.5,36.966553,27.3509,1.7908,75.9062,217
37,166,112.5,4.5,36.875103,27.5401,1.8034,75.9076,218
38,166,115.5,4.5,36.80238,27.71,1.828,74.9345,219
39,166,118.5,4.5,36.749084,27.8853,1.86,75.0827,220
40,166,121.5,4.5,36.710609,28.1046,1.8969,74.9317,221
41,166,124.5,4.5,36.682777,28.3692,1.9348,70.5195,222
42,166,127.5,4.5,36.708046,28.3432,1.968,70.3059,223
43,166,130.5,4.5,36.837597,27.9133,1.9795,70.8481,224
44,166,133.5,4.5,36.925781,27.6375,1.9257,71.5341,225
45,166,136.5,4.5,37.027214,27.3743,1.7474,71.2981,226
46,166,139.5,4.5,37.131268,27.1189,1.4439,71.3199,227
47,166,142.5,4.5,37.256393,26.8492,1.2742,72.8296,228
48,166,145.5,4.5,37.400696,26.586,1.1909,75.0831,229
49,166,148.5,4.5,NA,NA,0,NA,230
50,166,151.5,4.5,NA,NA,0,NA,231
51,166,154.5,4.5,NA,NA,0,NA,232
52,166,157.5,4.5,NA,NA,0,NA,233
53,166,160.5,4.5,NA,NA,0,NA,234
54,166,163.5,4.5,NA,NA,0,NA,235
55,166,166.5,4.5,NA,NA,0,NA,236
56,166,169.5,4.5,NA,NA,0,NA,237
57,166,172.5,4.5,37.616585,25.8262,1.6296,50.1013,238
58,166,175.5,4.5,37.652843,25.7711,1.8332,74.9804,239
59,166,178.5,4.5,37.671482,25.7386,1.9727,73.5092,240
60,166,181.5,4.5,37.618488,25.8057,2.0501,76.6909,241
61,166,184.5,4.5,37.637493,25.7714,2.0937,73.2161,242
62,166,187.5,4.5,37.587173,25.8342,2.1044,73.1814,243
63,166,190.5,4.5,37.481411,25.9741,1.9802,77.2955,244
64,166,193.5,4.5,37.392563,26.0876,1.2827,77.6084,245
65,166,196.5,4.5,37.321411,26.1826,0.9597,76.5145,246
66,166,199.5,4.5,37.281036,26.2431,0.8724,77.7929,247
67,166,202.5,4.5,37.292976,26.24,0.1595,78.3005,248
68,166,205.5,4.5,37.343628,26.1861,0.1846,74.2193,249
69,166,208.5,4.5,37.334152,26.2191,0.3001,72.1903,250
70,166,211.5,4.5,37.288452,26.3015,0.2914,71.1983,251
71,166,214.5,4.5,36.850651,26.9798,1.9533,71.4679,252
72,166,217.5,4.5,36.687271,27.2653,2.1079,71.7987,253
73,166,220.5,4.5,36.52026,27.5635,2.178,79.0933,254
74,166,223.5,4.5,36.54528,27.5775,2.2024,72.4387,255
75,166,226.5,4.5,36.601753,27.5485,2.2,71.0688,256
76,166,229.5,4.5,36.66782,27.5077,2.1712,71.0006,257
77,166,232.5,4.5,36.769222,27.4068,2.0887,73.435,258
78,166,235.5,4.5,NA,NA,0,NA,259
79,166,238.5,4.5,NA,NA,0,NA,260
80,166,241.5,4.5,NA,NA,0,NA,261
81,166,244.5,4.5,NA,NA,0,NA,262
82,166,247.5,4.5,36.575809,28.1996,0.7402,74.4608,263
83,166,250.5,4.5,36.383064,28.5371,2.0078,71.9347,264
84,166,253.5,4.5,36.175125,28.945,2.117,69.5805,265
85,166,256.5,4.5,35.920746,29.4607,2.0423,71.7693,266
86,166,259.5,4.5,35.698269,29.9546,1.7425,43.3481,267
87,166,262.5,4.5,35.498756,30.47,0.7067,39.2774,268
88,166,265.5,4.5,35.368687,30.89,0.9272,39.6674,269
89,166,268.5,4.5,35.293537,31.3103,1.5069,64.8369,270
90,166,271.5,4.5,35.162861,31.608,1.4376,43.7906,271
91,166,274.5,4.5,35.05854,31.8344,1.3546,36.294,272
92,166,277.5,4.5,34.99192,31.9327,0.8383,38.89,273
93,166,280.5,4.5,34.948357,32.1793,0.5847,61.9622,274
94,166,283.5,4.5,34.783104,32.4388,2.0805,63.0553,275
95,166,286.5,4.5,34.700054,32.6545,2.0848,62.2424,276
96,166,289.5,4.5,34.602577,32.8472,1.9722,61.1757,277
97,166,292.5,4.5,34.486618,33.0143,1.8888,40.9436,278
98,166,295.5,4.5,34.366058,33.2117,1.7911,36.0988,279
99,166,298.5,4.5,34.259727,33.3773,1.7152,36.4698,280
100,166,301.5,4.5,34.172604,33.5094,1.6677,36.1224,281
101,166,304.5,4.5,34.11771,33.5739,1.6702,35.6203,282
102,166,307.5,4.5,34.116802,33.5603,1.7287,39.3379,283
103,166,310.5,4.5,34.224506,33.3668,0.8447,47.6926,284
104,166,313.5,4.5,34.335323,33.1282,0.5427,60.7047,285
105,166,316.5,4.5,NA,NA,0,NA,286
106,166,319.5,4.5,34.690491,31.9484,1.0191,67.0881,287
107,166,322.5,4.5,34.722858,31.8692,0.453,67.086,288
108,166,325.5,4.5,34.527908,32.1642,1.7867,67.1733,289
109,166,328.5,4.5,NA,NA,0,NA,290
110,166,331.5,4.5,NA,NA,0,NA,291
111,166,334.5,4.5,NA,NA,0,NA,292
112,166,337.5,4.5,NA,NA,0,NA,293
113,166,340.5,4.5,34.219604,32.6726,1.6051,62.1124,294
114,166,343.5,4.5,34.216751,32.6936,1.6813,66.4856,295
115,166,346.5,4.5,NA,NA,0,NA,296
116,166,349.5,4.5,NA,NA,0,NA,297
117,166,352.5,4.5,NA,NA,0,NA,298
118,166,355.5,4.5,NA,NA,0,NA,299
119,166,358.5,4.5,33.814873,33.5359,1.6214,61.1335,300
120,166,361.5,4.5,33.721748,33.7241,1.642,58.8171,301
121,166,364.5,4.5,33.598904,33.9679,0.5195,35.7652,302
122,166,367.5,4.5,33.568863,34.0188,0.494,36.4975,303
123,166,370.5,4.5,33.626213,33.8371,0.7888,39.7113,304
124,166,373.5,4.5,33.69809,33.6624,1.1337,45.6785,305
125,166,376.5,4.5,33.737812,33.5339,1.9162,60.6264,306
126,166,379.5,4.5,33.726795,33.5054,1.9576,59.7205,307
127,166,382.5,4.5,33.75177,33.4092,1.9514,48.6005,308
128,166,385.5,4.5,33.831936,33.2118,1.8607,45.0368,309
129,166,388.5,4.5,33.976692,32.9078,1.8266,48.0889,310
130,166,391.5,4.5,34.17178,32.5364,1.9202,62.1965,311
131,166,394.5,4.5,34.340046,32.2239,2.0172,63.5285,312
132,166,397.5,4.5,34.462673,31.9909,2.0362,64.5869,313
133,166,400.5,4.5,34.559898,31.7859,1.9532,65.0457,314
134,166,403.5,4.5,34.639725,31.6122,1.9228,64.4313,315
135,166,406.5,4.5,34.705132,31.4754,1.9533,64.8519,316
136,166,409.5,4.5,34.749668,31.3836,1.9864,64.5404,317
137,166,412.5,4.5,34.780392,31.3192,1.9883,64.455,318
138,166,415.5,4.5,34.805744,31.2674,1.9853,64.1879,319
139,166,418.5,4.5,34.823895,31.2297,1.9952,64.8575,320
140,166,421.5,4.5,34.833347,31.2018,2.0038,64.7442,321
141,166,424.5,4.5,34.847454,31.1486,1.9183,64.3533,322
142,166,427.5,4.5,34.881474,31.0399,1.6831,64.1309,323
143,166,430.5,4.5,34.928761,30.8969,1.4052,63.6481,324
144,166,433.5,4.5,34.982117,30.7435,1.1158,63.487,325
145,166,436.5,4.5,35.042164,30.5916,0.7569,65.5245,326
146,166,439.5,4.5,35.194546,30.1824,1.1939,66.9313,327
147,166,442.5,4.5,35.341724,29.8878,1.2444,65.4132,328
148,166,445.5,4.5,35.470913,29.6538,1.3467,66.6309,329
149,166,448.5,4.5,35.573647,29.4871,1.4537,67.9496,330
150,166,451.5,4.5,35.651573,29.3726,1.5215,67.6833,331
151,166,454.5,4.5,35.71455,29.2818,1.5176,67.1982,332
152,166,457.5,4.5,35.772995,29.1894,1.2928,67.1599,333
153,166,460.5,4.5,35.797424,29.1462,0.6348,68.8108,334
154,166,463.5,4.5,35.777309,29.256,1.8874,67.8445,335
155,166,466.5,4.5,35.911037,29.0817,2.0069,68.298,336
156,166,469.5,4.5,36.105423,28.8024,2.1545,68.2606,337
157,166,472.5,4.5,36.357941,28.4217,2.243,67.4769,338
158,166,475.5,4.5,36.654957,27.9607,2.125,69.3374,339
159,166,478.5,4.5,NA,NA,0,NA,340
160,166,481.5,4.5,NA,NA,0,NA,341
161,166,484.5,4.5,NA,NA,0,NA,342
162,166,487.5,4.5,NA,NA,0,NA,343
163,166,490.5,4.5,NA,NA,0,NA,344
164,166,493.5,4.5,NA,NA,0,NA,345
165,166,496.5,4.5,NA,NA,0,NA,346
166,166,499.5,4.5,NA,NA,0,NA,347
167,166,502.5,4.5,NA,NA,0,NA,348
168,166,505.5,4.5,36.945511,28.8128,0.2817,51.786,349
169,166,508.5,4.5,36.767254,28.1535,0.7047,65.8212,350
170,166,511.5,4.5,36.549904,28.1068,1.2452,60.8656,351
171,166,514.5,4.5,36.366081,28.2015,0.8502,41.3417,352
172,166,517.5,4.5,36.21188,28.3159,0.6319,32.9703,353
173,166,520.5,4.5,36.091656,28.4363,0.4719,31.9882,354
174,166,523.5,4.5,36.019981,28.5111,0.3334,31.7501,355
175,166,526.5,4.5,35.971401,28.4608,0.4606,33.2118,356
176,166,529.5,4.5,36.052479,28.0976,1.4807,44.3085,357
177,166,532.5,4.5,36.093102,27.9114,1.5574,57.6517,358
178,166,535.5,4.5,36.150082,27.4825,0.3944,39.7884,359
179,166,538.5,4.5,36.212799,27.1911,0.9776,39.7205,360
0,165,1.5,7.5,NA,NA,0,NA,361
1,165,4.5,7.5,NA,NA,0,NA,362
2,165,7.5,7.5,NA,NA,0,NA,363
3,165,10.5,7.5,37.712498,24.5872,0.2277,41.1566,364
4,165,13.5,7.5,37.780586,24.722,1.2326,39.7258,365
5,165,16.5,7.5,37.779182,25.0557,1.6301,63.5208,366
6,165,19.5,7.5,37.708611,25.2548,1.8896,64.0857,367
7,165,22.5,7.5,37.605671,25.3476,1.9978,62.2467,368
8,165,25.5,7.5,37.521774,25.4204,2.0238,39.5085,369
9,165,28.5,7.5,37.470844,25.4771,2.0104,37.729,370
10,165,31.5,7.5,37.450138,25.4947,1.9642,37.3985,371
11,165,34.5,7.5,37.458939,25.4757,1.864,38.0342,372
12,165,37.5,7.5,37.502094,25.4445,1.7371,39.6337,373
13,165,40.5,7.5,37.602592,25.4334,1.6515,53.9439,374
14,165,43.5,7.5,37.715504,25.4216,1.6332,69.7403,375
15,165,46.5,7.5,37.788029,25.4064,1.6338,69.797,376
16,165,49.5,7.5,37.838299,25.3991,1.649,69.7749,377
17,165,52.5,7.5,37.873535,25.4083,1.6702,69.7272,378
18,165,55.5,7.5,37.897205,25.436,1.695,69.7156,379
19,165,58.5,7.5,37.910683,25.4829,1.7166,69.8887,380
20,165,61.5,7.5,37.91309,25.5509,1.7364,70.0233,381
21,165,64.5,7.5,37.903004,25.642,1.7487,70.2735,382
22,165,67.5,7.5,37.878307,25.7579,1.7565,70.2804,383
23,165,70.5,7.5,37.837429,25.8992,1.7601,70.1599,384
24,165,73.5,7.5,37.780823,26.0618,1.7687,69.9524,385
25,165,76.5,7.5,37.708836,26.2413,1.784,70.2874,386
26,165,79.5,7.5,37.619671,26.4318,1.8114,70.7309,387
27,165,82.5,7.5,37.516373,26.6196,1.8664,67.6894,388
28,165,85.5,7.5,37.4189,26.7759,1.9059,67.9411,389
29,165,88.5,7.5,37.321312,26.8781,1.8719,68.5084,390
30,165,91.5,7.5,37.227791,26.8729,1.8085,70.9008,391
31,165,94.5,7.5,37.140671,26.9565,1.7625,50.1797,392
32,165,97.5,7.5,37.089092,27.0416,1.7455,50.4265,393
33,165,100.5,7.5,37.056259,27.1281,1.7482,58.1619,394
34,165,103.5,7.5,37.006626,27.2542,1.752,74.2092,395
35,165,106.5,7.5,36.920208,27.4466,1.75,74.8091,396
36,165,109.5,7.5,36.817017,27.6706,1.7521,73.8718,397
37,165,112.5,7.5,36.703617,27.8869,1.7672,72.029,398
38,165,115.5,7.5,36.637196,28.0421,1.7964,50.9023,399
39,165,118.5,7.5,36.600258,28.2093,1.8351,53.6668,400
40,165,121.5,7.5,36.575909,28.4891,1.8771,69.9027,401
41,165,124.5,7.5,36.581482,28.6072,1.9214,69.885,402
42,165,127.5,7.5,36.61253,28.5448,1.9609,70.4788,403
43,165,130.5,7.5,36.693871,28.1683,1.9703,75.3494,404
44,165,133.5,7.5,36.77874,27.8909,1.8873,75.861,405
45,165,136.5,7.5,36.924927,27.5542,1.6134,71.878,406
46,165,139.5,7.5,37.051041,27.2511,1.0575,71.3906,407
47,165,142.5,7.5,37.209373,26.915,0.8545,73.417,408
48,165,145.5,7.5,37.387245,26.5933,0.793,74.2139,409
49,165,148.5,7.5,NA,NA,0,NA,410
50,165,151.5,7.5,NA,NA,0,NA,411
51,165,154.5,7.5,NA,NA,0,NA,412
52,165,157.5,7.5,NA,NA,0,NA,413
53,165,160.5,7.5,NA,NA,0,NA,414
54,165,163.5,7.5,NA,NA,0,NA,415
55,165,166.5,7.5,NA,NA,0,NA,416
56,165,169.5,7.5,NA,NA,0,NA,417
57,165,172.5,7.5,37.718254,25.7042,1.7358,75.0232,418
58,165,175.5,7.5,37.729599,25.6825,1.9334,73.9874,419
59,165,178.5,7.5,37.652859,25.7822,2.0359,77.7374,420
60,165,181.5,7.5,37.614265,25.8281,2.08,76.7833,421
61,165,184.5,7.5,37.625328,25.8044,2.1055,73.3184,422
62,165,187.5,7.5,37.529755,25.9311,2.1304,77.5827,423
63,165,190.5,7.5,37.464989,26.0134,2.1474,78.7996,424
64,165,193.5,7.5,37.356373,26.1489,0.8288,76.4651,425
65,165,196.5,7.5,37.273552,26.2597,0.4251,52.8646,426
66,165,199.5,7.5,37.214909,26.3495,0.427,53.0665,427
67,165,202.5,7.5,37.203274,26.3785,0.2283,76.1652,428
68,165,205.5,7.5,37.213501,26.3821,0.23,76.2704,429
69,165,208.5,7.5,37.248287,26.3521,0.3545,72.7201,430
70,165,211.5,7.5,37.241047,26.3803,0.2102,72.0021,431
71,165,214.5,7.5,36.752533,27.1542,1.9088,73.3286,432
72,165,217.5,7.5,36.526825,27.5381,2.0788,81.624,433
73,165,220.5,7.5,36.406029,27.7712,2.1368,81.9275,434
74,165,223.5,7.5,36.388279,27.8534,2.1407,81.7144,435
